Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais;Inconsistente;Total
 TOTAL;610.120;2.858.947;3.117.495;2.689.762;2.715.323;3.353.024;4.248.129;4.967.212;4.802.252;3.700.092;3.108.200;2.869.217;2.373.510;1.878.904;1.426.778;1.032.021;773.044;1.081.519;792;47.606.341
110001 Alta Floresta D'Oeste;10;96;107;82;75;120;185;179;162;133;118;111;90;73;54;40;16;14;0;1.665
110037 Alto Alegre dos Parecis;3;10;6;3;7;9;19;13;12;12;7;12;4;4;1;0;0;2;0;124
110040 Alto Paraíso;5;30;35;21;23;27;40;35;36;24;33;28;22;8;2;4;1;0;0;374
110034 Alvorada D'Oeste;7;45;41;45;44;63;69;63;56;52;57;41;42;22;16;5;1;3;0;672
110002 Ariquemes;115;480;419;461;457;563;853;849;776;544;481;567;436;331;189;137;69;74;0;7.801
110045 Buritis;9;52;48;42;38;60;78;83;74;35;47;32;33;22;12;8;8;0;0;681
110003 Cabixi;4;8;14;9;18;9;23;24;28;24;19;19;12;2;2;2;1;0;0;218
110060 Cacaulândia;5;8;6;2;7;7;15;25;12;7;14;9;8;5;0;2;0;1;0;133
110004 Cacoal;123;484;495;385;415;575;848;932;756;558;538;548;502;365;197;120;88;73;0;8.002
110070 Campo Novo de Rondônia;2;5;4;7;2;5;11;13;15;5;7;5;1;3;0;0;0;0;0;85
110080 Candeias do Jamari;5;51;53;44;28;59;49;64;54;39;26;32;23;12;20;9;6;5;0;579
110090 Castanheiras;3;3;2;4;2;5;4;9;4;5;6;5;3;1;1;0;0;1;0;58
110005 Cerejeiras;15;47;47;33;42;66;115;77;67;46;54;43;44;29;8;7;7;5;0;752
110092 Chupinguaia;5;17;9;8;9;9;19;23;22;11;9;6;4;7;0;0;2;2;0;162
110006 Colorado do Oeste;21;89;80;70;56;78;122;150;111;90;82;83;63;45;31;12;7;9;0;1.199
110007 Corumbiara;2;8;9;10;11;9;17;19;8;10;11;12;6;7;1;0;0;0;0;140
110008 Costa Marques;4;18;21;19;26;15;32;33;25;15;30;28;22;20;5;5;6;0;0;324
110094 Cujubim;5;9;19;15;12;15;21;21;19;21;14;16;9;6;4;4;1;1;0;212
110009 Espigão D'Oeste;25;89;113;73;75;131;195;214;146;113;123;114;104;62;30;19;17;13;0;1.656
110100 Governador Jorge Teixeira;0;4;5;1;5;5;9;8;9;4;11;10;2;3;2;0;0;0;0;78
110010 Guajará-Mirim;23;116;138;137;139;119;158;184;207;129;135;178;148;162;107;78;55;69;0;2.282
110110 Itapuã do Oeste;7;32;59;45;28;57;46;67;53;35;29;29;27;21;6;0;4;7;0;552
110011 Jaru;40;180;187;145;160;258;359;389;270;256;235;208;184;119;65;44;17;19;0;3.135
110012 Ji-Paraná;230;975;937;824;781;973;1.450;1.463;1.334;964;858;909;819;545;390;222;144;181;0;13.999
110013 Machadinho D'Oeste;9;39;46;45;40;51;83;86;61;53;50;58;39;29;13;6;1;1;0;710
110120 Ministro Andreazza;1;10;14;6;9;17;23;26;13;5;11;8;10;7;2;2;1;1;0;166
110130 Mirante da Serra;7;26;24;16;21;14;28;24;42;23;18;16;17;8;6;1;1;1;0;293
110140 Monte Negro;5;20;7;5;7;20;27;23;17;16;9;9;13;9;5;2;0;0;0;194
110014 Nova Brasilândia D'Oeste;5;30;18;19;16;34;53;50;40;28;24;38;20;12;6;5;3;5;0;406
110033 Nova Mamoré;7;26;28;32;27;28;37;47;31;39;24;23;19;12;3;6;1;1;0;391
110143 Nova União;3;6;6;6;4;5;3;7;9;8;5;4;8;4;1;0;1;1;0;81
110050 Novo Horizonte do Oeste;3;13;14;9;11;10;14;24;16;16;15;15;11;9;1;2;0;1;0;184
110015 Ouro Preto do Oeste;47;180;201;163;171;165;280;284;276;187;217;239;227;150;94;72;38;36;0;3.027
110145 Parecis;0;5;6;6;4;6;8;9;6;8;5;4;6;2;3;0;0;0;0;78
110018 Pimenta Bueno;61;236;248;175;176;244;367;391;321;236;215;241;231;180;103;46;27;40;0;3.538
110146 Pimenteiras do Oeste;0;1;2;3;2;0;1;5;5;5;0;2;6;1;0;0;1;1;0;35
110020 Porto Velho;1.278;5.463;5.901;4.629;4.862;6.333;8.509;9.051;7.738;5.933;5.279;5.717;5.124;3.791;2.536;1.552;1.159;1.591;0;86.446
110025 Presidente Médici;14;86;85;82;87;100;117;116;137;99;99;102;99;72;45;18;8;12;0;1.378
110147 Primavera de Rondônia;1;10;7;2;3;4;15;21;10;6;8;6;6;2;2;1;0;1;0;105
110026 Rio Crespo;1;9;6;4;3;9;12;12;12;5;9;7;3;2;4;0;0;1;0;99
110028 Rolim de Moura;62;189;196;164;117;196;310;381;322;207;180;202;190;98;65;35;20;17;0;2.951
110029 Santa Luzia D'Oeste;5;11;20;18;12;19;26;23;16;16;25;27;16;9;3;0;0;2;0;248
110148 São Felipe D'Oeste;2;9;7;8;8;11;20;19;13;12;19;10;5;3;0;0;1;0;0;147
110149 São Francisco do Guaporé;4;18;14;9;6;26;28;33;24;15;11;15;9;4;5;3;0;1;0;225
110032 São Miguel do Guaporé;6;35;36;23;33;34;66;77;39;31;22;23;20;9;2;9;4;1;0;470
110150 Seringueiras;4;17;14;11;11;17;30;31;22;15;18;19;10;6;2;0;0;0;0;227
110155 Teixeirópolis;1;15;8;5;9;11;7;12;7;12;8;8;9;2;2;0;0;0;0;116
110160 Theobroma;4;13;7;8;8;13;15;15;9;10;16;16;12;3;2;2;4;0;0;157
110170 Urupá;5;24;21;18;24;25;41;50;28;38;25;27;16;11;7;4;1;0;0;365
110175 Vale do Anari;2;6;9;11;6;6;12;6;9;13;7;2;3;4;4;0;0;0;0;100
110180 Vale do Paraíso;3;13;13;9;6;13;9;18;15;12;7;9;7;3;4;2;0;2;0;145
110030 Vilhena;189;696;709;599;627;917;1.217;1.299;1.053;857;744;661;532;435;258;192;95;91;0;11.171
110000 Município ignorado - RO;0;2;1;1;1;2;1;1;3;2;3;2;1;1;0;0;0;1;0;22
120001 Acrelândia;2;6;12;13;7;17;16;12;24;7;10;9;8;5;5;4;0;4;0;161
120005 Assis Brasil;0;5;5;9;6;3;8;4;13;4;2;9;3;2;0;0;0;0;0;73
120010 Brasiléia;0;10;18;19;7;12;15;12;27;16;10;10;9;11;8;4;1;1;0;190
120013 Bujari;1;14;9;13;6;2;5;7;13;7;1;1;0;2;3;2;2;0;0;88
120017 Capixaba;0;4;4;1;1;5;9;3;2;0;3;1;3;0;1;1;0;0;0;38
120020 Cruzeiro do Sul;8;60;87;56;49;61;103;134;118;65;59;57;39;18;26;32;11;7;0;990
120025 Epitaciolândia;3;10;12;12;6;13;18;26;16;5;5;8;4;3;2;2;1;0;0;146
120030 Feijó;0;6;10;12;10;13;15;21;19;5;7;9;10;2;2;7;4;1;0;153
120032 Jordão;0;2;2;2;4;23;32;47;115;122;222;351;443;389;294;386;492;766;0;3.692
120033 Mâncio Lima;0;4;6;7;1;4;7;3;3;3;2;0;1;3;0;0;0;1;0;45
120034 Manoel Urbano;2;1;4;1;2;2;6;4;4;0;2;0;0;2;1;0;2;0;0;33
120035 Marechal Thaumaturgo;0;0;2;3;2;2;3;4;3;0;0;0;2;0;0;0;0;0;0;21
120038 Plácido de Castro;3;9;4;9;7;4;12;18;8;3;4;8;9;2;4;2;0;1;0;107
120080 Porto Acre;0;6;8;7;1;0;3;11;8;5;0;1;4;4;1;0;0;1;0;60
120039 Porto Walter;0;0;2;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0;9
120040 Rio Branco;566;2.686;2.877;2.613;2.692;3.374;3.348;3.688;3.568;2.772;2.419;2.506;2.188;1.997;1.537;984;690;822;0;41.327
120042 Rodrigues Alves;1;1;0;2;0;0;2;1;2;0;0;1;2;1;1;0;2;1;0;17
120043 Santa Rosa do Purus;0;2;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;8
120050 Sena Madureira;5;20;20;21;14;15;26;26;20;11;13;19;11;16;6;9;2;2;0;256
120045 Senador Guiomard;2;26;38;26;16;16;27;18;21;15;13;11;10;7;6;7;3;2;0;264
120060 Tarauacá;1;14;16;11;17;13;22;20;16;8;6;14;10;9;5;2;0;4;0;188
120070 Xapuri;2;11;9;7;7;6;8;11;12;2;2;6;11;5;4;1;3;1;0;108
120000 Município ignorado - AC;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3
130002 Alvarães;0;3;1;10;7;6;22;36;20;7;6;7;7;5;13;4;1;23;0;178
130006 Amaturá;1;0;2;2;2;4;2;1;1;2;0;2;3;1;0;0;0;0;0;23
130008 Anamã;1;2;6;3;7;9;0;1;6;6;5;0;0;2;2;2;1;1;0;54
130010 Anori;1;1;2;5;5;1;3;3;3;3;1;1;1;0;1;0;0;0;0;31
130014 Apuí;1;2;5;3;10;9;11;6;3;9;10;10;5;4;1;0;1;0;0;90
130020 Atalaia do Norte;0;7;7;5;3;0;1;2;9;7;3;2;1;1;1;0;0;0;0;49
130030 Autazes;1;4;12;11;9;11;8;12;8;10;8;5;6;5;4;4;1;2;0;121
130040 Barcelos;0;5;3;6;11;5;8;6;6;6;2;2;2;4;2;0;0;1;0;69
130050 Barreirinha;0;2;1;1;1;2;4;5;2;2;0;0;1;1;0;0;0;0;0;22
130060 Benjamin Constant;1;8;15;17;15;16;7;10;14;21;18;12;8;5;5;6;4;3;0;185
130063 Beruri;0;3;3;4;4;14;9;2;1;5;7;2;3;1;1;2;2;5;0;68
130068 Boa Vista do Ramos;1;4;2;1;4;4;7;4;1;0;1;2;2;3;0;1;0;0;0;37
130070 Boca do Acre;2;9;3;8;14;13;16;6;12;7;6;15;16;11;6;4;2;2;0;152
130080 Borba;0;6;9;6;9;8;7;11;9;9;5;8;3;5;2;7;1;1;0;106
130083 Caapiranga;1;3;5;4;3;4;6;5;5;2;0;4;5;3;0;0;0;3;0;53
130090 Canutama;1;4;6;9;9;10;7;9;7;5;6;3;3;3;1;0;1;0;0;84
130100 Carauari;4;17;40;44;35;28;43;41;38;24;21;19;18;13;4;2;0;1;0;392
130110 Careiro;0;3;9;9;8;14;11;7;5;7;7;11;5;2;2;0;2;0;0;102
130115 Careiro da Várzea;0;2;3;2;8;4;10;0;4;5;4;0;0;3;0;2;1;1;0;49
130120 Coari;11;28;84;54;57;30;67;110;101;68;39;39;12;15;6;4;2;4;0;731
130130 Codajás;1;7;11;14;22;16;15;7;7;16;15;6;6;5;1;3;0;2;0;154
130140 Eirunepé;0;7;9;7;13;8;13;11;13;9;7;9;9;14;2;5;1;1;0;138
